year_film,year_ceremony,ceremony,category,name,film,win,Gross,Date,Runtime,Awards,nominations,imdb,tomato,Metacr,imdbVotes,Documentary,Thriller,Short,Comedy,Fantasy,Animation,Mystery,Music,Biography,Drama,Western,Sci-Fi,Musical,History,Action,Crime,Romance,Family,Adventure,Sport,Horror,War
1981,1982,54,ACTRESS IN A LEADING ROLE,Marsha Mason,Only When I Laugh,False,25524778.0,Sep,120,2.0,5.0,6.4,57.0,77.40287769784173,1132.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,1982,54,ACTRESS IN A LEADING ROLE,Susan Sarandon,Atlantic City,False,12729675.0,Nov,60,0.0,0.0,7.462968750000003,85.8449111470113,77.40287769784173,205000.5703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,1982,54,ACTRESS IN A LEADING ROLE,Meryl Streep,The French Lieutenants Woman,False,26890068.0,Oct,124,9.0,15.0,7.0,78.0,64.0,11199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1982,1983,55,ACTRESS IN A LEADING ROLE,Julie Andrews,Victor/Victoria,False,28215453.0,Mar,134,10.0,15.0,7.6,97.0,84.0,18377.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1982,1983,55,ACTRESS IN A LEADING ROLE,Jessica Lange,Frances,False,59866942.41791045,Mar,140,2.0,7.0,7.4,64.0,48.0,6475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1982,1983,55,ACTRESS IN A LEADING ROLE,Sissy Spacek,Missing,False,14000000.0,Mar,122,10.0,18.0,7.7,97.0,78.0,17078.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,1983,55,ACTRESS IN A LEADING ROLE,Meryl Streep,Sophies Choice,True,30036000.0,Mar,150,12.0,12.0,7.6,74.0,68.0,38535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1982,1983,55,ACTRESS IN A LEADING ROLE,Debra Winger,An Officer and a Gentleman,False,129795554.0,Aug,124,7.0,13.0,7.0,79.0,75.0,45661.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1983,1984,56,ACTRESS IN A LEADING ROLE,Jane Alexander,Testament,False,59866942.41791045,Jan,90,2.0,5.0,6.9,78.0,77.40287769784173,5372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,1984,56,ACTRESS IN A LEADING ROLE,Shirley MacLaine,Terms of Endearment,True,108423489.0,Dec,132,27.0,18.0,7.4,78.0,79.0,51304.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
