year_film,year_ceremony,ceremony,category,name,film,win,Gross,Date,Runtime,Awards,nominations,imdb,tomato,Metacr,imdbVotes,Documentary,Thriller,Short,Comedy,Fantasy,Animation,Mystery,Music,Biography,Drama,Western,Sci-Fi,Musical,History,Action,Crime,Romance,Family,Adventure,Sport,Horror,War
1982,1983,55,DIRECTING,Sidney Lumet,The Verdict,False,53977250.0,Dec,129,3.0,9.0,7.7,90.0,77.0,33374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,1984,56,DIRECTING,Peter Yates,The Dresser,False,5310748.0,Dec,118,5.0,12.0,7.7,100.0,77.40287769784173,4285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,1984,56,DIRECTING,Ingmar Bergman,Fanny  Alexander,False,6783304.0,Dec,312,0.0,0.0,9.1,85.8449111470113,77.40287769784173,1779.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,1984,56,DIRECTING,Mike Nichols,Silkwood,False,35615609.0,Jan,131,2.0,13.0,7.2,77.0,64.0,17228.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,1984,56,DIRECTING,Bruce Beresford,Tender Mercies,False,8443124.0,Jun,92,7.0,14.0,7.4,83.0,77.40287769784173,8716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,1984,56,DIRECTING,James L Brooks,Terms of Endearment,True,108423489.0,Dec,132,27.0,18.0,7.4,78.0,79.0,51304.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,1985,57,DIRECTING,Milos Forman,Amadeus,True,51973029.0,Sep,160,34.0,14.0,8.3,93.0,88.0,349716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,1985,57,DIRECTING,Woody Allen,Broadway Danny Rose,False,10600497.0,Jan,84,3.0,2.0,7.4,100.0,80.0,22534.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,1985,57,DIRECTING,Roland Joff챕,The Killing Fields,False,34700291.0,Feb,141,24.0,22.0,7.8,93.0,76.0,48769.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1984,1985,57,DIRECTING,David Lean,A Passage to India,False,27187653.0,Feb,164,20.0,26.0,7.3,83.0,77.40287769784173,16020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1984,1985,57,DIRECTING,Robert Benton,Places in the Heart,False,34901614.0,Oct,111,11.0,14.0,7.3,93.0,70.0,9664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,1986,58,DIRECTING,Hector Babenco,Kiss of the Spider Woman,False,17005229.0,Jul,120,12.0,10.0,7.4,85.0,80.0,13228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,1986,58,DIRECTING,Sydney Pollack,Out of Africa,True,87071205.0,Dec,161,23.0,27.0,7.2,58.0,69.0,67127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1985,1986,58,DIRECTING,John Huston,Prizzis Honor,False,26657534.0,Jun,130,26.0,24.0,6.7,86.0,84.0,21627.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1985,1986,58,DIRECTING,Akira Kurosawa,Ran,False,4135750.0,Jun,162,29.0,22.0,8.2,96.0,96.0,103643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,1986,58,DIRECTING,Peter Weir,Witness,False,68706993.0,Feb,112,11.0,25.0,7.4,92.0,76.0,80962.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1986,1987,59,DIRECTING,David Lynch,Blue Velvet,False,8551228.0,Oct,120,18.0,17.0,7.8,95.0,76.0,168241.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,1987,59,DIRECTING,Woody Allen,Hannah and Her Sisters,False,40084041.0,Mar,107,24.0,26.0,7.9,91.0,90.0,63430.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,1987,59,DIRECTING,Roland Joff챕,The Mission,False,17218023.0,Oct,125,14.0,26.0,7.4,64.0,55.0,52997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1986,1987,59,DIRECTING,Oliver Stone,Platoon,True,138530565.0,Feb,120,20.0,14.0,8.1,88.0,92.0,361846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1986,1987,59,DIRECTING,James Ivory,A Room with a View,False,20966644.0,Apr,117,22.0,22.0,7.3,100.0,80.0,37026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1987,1988,60,DIRECTING,Adrian Lyne,Fatal Attraction,False,156645693.0,Sep,119,7.0,16.0,6.9,76.0,67.0,70416.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,1988,60,DIRECTING,John Boorman,Hope and Glory,False,10021120.0,Feb,113,16.0,24.0,7.3,95.0,77.40287769784173,11707.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1987,1988,60,DIRECTING,Bernardo Bertolucci,The Last Emperor,True,43984230.0,Apr,163,51.0,21.0,7.7,90.0,76.0,87790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,1988,60,DIRECTING,Norman Jewison,Moonstruck,False,80640528.0,Jan,102,15.0,19.0,7.1,93.0,83.0,45696.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1987,1988,60,DIRECTING,Lasse Hallstr철m,My Life as a Dog,False,8345266.0,May,101,14.0,3.0,7.6,100.0,77.40287769784173,17477.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,1989,61,DIRECTING,Charles Crichton,A Fish Called Wanda,False,62493712.0,Aug,108,8.0,18.0,7.5,94.0,80.0,125480.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,1989,61,DIRECTING,Martin Scorsese,The Last Temptation of Christ,False,8373585.0,Sep,164,2.0,7.0,7.6,80.0,80.0,47998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,1989,61,DIRECTING,Alan Parker,Mississippi Burning,False,34603943.0,Jan,128,16.0,24.0,7.8,83.0,65.0,81960.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,1989,61,DIRECTING,Barry Levinson,Rain Man,True,172825435.0,Dec,133,22.0,22.0,8.0,90.0,65.0,452495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,1989,61,DIRECTING,Mike Nichols,Working Girl,False,63779477.0,Dec,113,8.0,17.0,6.8,83.0,73.0,49029.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1989,1990,62,DIRECTING,Oliver Stone,Born on the Fourth of July,True,70001698.0,Jan,145,13.0,25.0,7.2,87.0,75.0,92527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1989,1990,62,DIRECTING,Woody Allen,Crimes and Misdemeanors,False,18254702.0,Nov,104,16.0,22.0,7.9,93.0,77.0,51561.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,1990,62,DIRECTING,Peter Weir,Dead Poets Society,False,95860116.0,Jun,128,19.0,18.0,8.1,84.0,79.0,388510.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,1990,62,DIRECTING,Kenneth Branagh,Henry V,False,10161099.0,Nov,137,10.0,13.0,7.5,100.0,83.0,27141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1989,1990,62,DIRECTING,Jim Sheridan,My Left Foot,False,14743391.0,Mar,103,21.0,20.0,7.9,97.0,97.0,63354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,1991,63,DIRECTING,Kevin Costner,Dances With Wolves,True,184208848.0,Nov,181,44.0,37.0,8.0,83.0,72.0,227308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1990,1991,63,DIRECTING,Francis Ford Coppola,The Godfather Part III,False,66666062.0,Dec,162,6.0,16.0,7.6,68.0,60.0,336448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
